# Outputting data by phi for Stokes 2
# We have 1 phi-specific tables, each of
# which contains nthetas = 901 rows by nfreqs = 2 columns;# The thetas are: 45 45.05 45.1 45.15 45.2 45.25 45.3 45.35 45.4 45.45 45.5 45.55 45.6 45.65 45.7 45.75 45.8 45.85 45.9 45.95 46 46.05 46.1 46.15 46.2 46.25 46.3 46.35 46.4 46.45 46.5 46.55 46.6 46.65 46.7 46.75 46.8 46.85 46.9 46.95 47 47.05 47.1 47.15 47.2 47.25 47.3 47.35 47.4 47.45 47.5 47.55 47.6 47.65 47.7 47.75 47.8 47.85 47.9 47.95 48 48.05 48.1 48.15 48.2 48.25 48.3 48.35 48.4 48.45 48.5 48.55 48.6 48.65 48.7 48.75 48.8 48.85 48.9 48.95 49 49.05 49.1 49.15 49.2 49.25 49.3 49.35 49.4 49.45 49.5 49.55 49.6 49.65 49.7 49.75 49.8 49.85 49.9 49.95 50 50.05 50.1 50.15 50.2 50.25 50.3 50.35 50.4 50.45 50.5 50.55 50.6 50.65 50.7 50.75 50.8 50.85 50.9 50.95 51 51.05 51.1 51.15 51.2 51.25 51.3 51.35 51.4 51.45 51.5 51.55 51.6 51.65 51.7 51.75 51.8 51.85 51.9 51.95 52 52.05 52.1 52.15 52.2 52.25 52.3 52.35 52.4 52.45 52.5 52.55 52.6 52.65 52.7 52.75 52.8 52.85 52.9 52.95 53 53.05 53.1 53.15 53.2 53.25 53.3 53.35 53.4 53.45 53.5 53.55 53.6 53.65 53.7 53.75 53.8 53.85 53.9 53.95 54 54.05 54.1 54.15 54.2 54.25 54.3 54.35 54.4 54.45 54.5 54.55 54.6 54.65 54.7 54.75 54.8 54.85 54.9 54.95 55 55.05 55.1 55.15 55.2 55.25 55.3 55.35 55.4 55.45 55.5 55.55 55.6 55.65 55.7 55.75 55.8 55.85 55.9 55.95 56 56.05 56.1 56.15 56.2 56.25 56.3 56.35 56.4 56.45 56.5 56.55 56.6 56.65 56.7 56.75 56.8 56.85 56.9 56.95 57 57.05 57.1 57.15 57.2 57.25 57.3 57.35 57.4 57.45 57.5 57.55 57.6 57.65 57.7 57.75 57.8 57.85 57.9 57.95 58 58.05 58.1 58.15 58.2 58.25 58.3 58.35 58.4 58.45 58.5 58.55 58.6 58.65 58.7 58.75 58.8 58.85 58.9 58.95 59 59.05 59.1 59.15 59.2 59.25 59.3 59.35 59.4 59.45 59.5 59.55 59.6 59.65 59.7 59.75 59.8 59.85 59.9 59.95 60 60.05 60.1 60.15 60.2 60.25 60.3 60.35 60.4 60.45 60.5 60.55 60.6 60.65 60.7 60.75 60.8 60.85 60.9 60.95 61 61.05 61.1 61.15 61.2 61.25 61.3 61.35 61.4 61.45 61.5 61.55 61.6 61.65 61.7 61.75 61.8 61.85 61.9 61.95 62 62.05 62.1 62.15 62.2 62.25 62.3 62.35 62.4 62.45 62.5 62.55 62.6 62.65 62.7 62.75 62.8 62.85 62.9 62.95 63 63.05 63.1 63.15 63.2 63.25 63.3 63.35 63.4 63.45 63.5 63.55 63.6 63.65 63.7 63.75 63.8 63.85 63.9 63.95 64 64.05 64.1 64.15 64.2 64.25 64.3 64.35 64.4 64.45 64.5 64.55 64.6 64.65 64.7 64.75 64.8 64.85 64.9 64.95 65 65.05 65.1 65.15 65.2 65.25 65.3 65.35 65.4 65.45 65.5 65.55 65.6 65.65 65.7 65.75 65.8 65.85 65.9 65.95 66 66.05 66.1 66.15 66.2 66.25 66.3 66.35 66.4 66.45 66.5 66.55 66.6 66.65 66.7 66.75 66.8 66.85 66.9 66.95 67 67.05 67.1 67.15 67.2 67.25 67.3 67.35 67.4 67.45 67.5 67.55 67.6 67.65 67.7 67.75 67.8 67.85 67.9 67.95 68 68.05 68.1 68.15 68.2 68.25 68.3 68.35 68.4 68.45 68.5 68.55 68.6 68.65 68.7 68.75 68.8 68.85 68.9 68.95 69 69.05 69.1 69.15 69.2 69.25 69.3 69.35 69.4 69.45 69.5 69.55 69.6 69.65 69.7 69.75 69.8 69.85 69.9 69.95 70 70.05 70.1 70.15 70.2 70.25 70.3 70.35 70.4 70.45 70.5 70.55 70.6 70.65 70.7 70.75 70.8 70.85 70.9 70.95 71 71.05 71.1 71.15 71.2 71.25 71.3 71.35 71.4 71.45 71.5 71.55 71.6 71.65 71.7 71.75 71.8 71.85 71.9 71.95 72 72.05 72.1 72.15 72.2 72.25 72.3 72.35 72.4 72.45 72.5 72.55 72.6 72.65 72.7 72.75 72.8 72.85 72.9 72.95 73 73.05 73.1 73.15 73.2 73.25 73.3 73.35 73.4 73.45 73.5 73.55 73.6 73.65 73.7 73.75 73.8 73.85 73.9 73.95 74 74.05 74.1 74.15 74.2 74.25 74.3 74.35 74.4 74.45 74.5 74.55 74.6 74.65 74.7 74.75 74.8 74.85 74.9 74.95 75 75.05 75.1 75.15 75.2 75.25 75.3 75.35 75.4 75.45 75.5 75.55 75.6 75.65 75.7 75.75 75.8 75.85 75.9 75.95 76 76.05 76.1 76.15 76.2 76.25 76.3 76.35 76.4 76.45 76.5 76.55 76.6 76.65 76.7 76.75 76.8 76.85 76.9 76.95 77 77.05 77.1 77.15 77.2 77.25 77.3 77.35 77.4 77.45 77.5 77.55 77.6 77.65 77.7 77.75 77.8 77.85 77.9 77.95 78 78.05 78.1 78.15 78.2 78.25 78.3 78.35 78.4 78.45 78.5 78.55 78.6 78.65 78.7 78.75 78.8 78.85 78.9 78.95 79 79.05 79.1 79.15 79.2 79.25 79.3 79.35 79.4 79.45 79.5 79.55 79.6 79.65 79.7 79.75 79.8 79.85 79.9 79.95 80 80.05 80.1 80.15 80.2 80.25 80.3 80.35 80.4 80.45 80.5 80.55 80.6 80.65 80.7 80.75 80.8 80.85 80.9 80.95 81 81.05 81.1 81.15 81.2 81.25 81.3 81.35 81.4 81.45 81.5 81.55 81.6 81.65 81.7 81.75 81.8 81.85 81.9 81.95 82 82.05 82.1 82.15 82.2 82.25 82.3 82.35 82.4 82.45 82.5 82.55 82.6 82.65 82.7 82.75 82.8 82.85 82.9 82.95 83 83.05 83.1 83.15 83.2 83.25 83.3 83.35 83.4 83.45 83.5 83.55 83.6 83.65 83.7 83.75 83.8 83.85 83.9 83.95 84 84.05 84.1 84.15 84.2 84.25 84.3 84.35 84.4 84.45 84.5 84.55 84.6 84.65 84.7 84.75 84.8 84.85 84.9 84.95 85 85.05 85.1 85.15 85.2 85.25 85.3 85.35 85.4 85.45 85.5 85.55 85.6 85.65 85.7 85.75 85.8 85.85 85.9 85.95 86 86.05 86.1 86.15 86.2 86.25 86.3 86.35 86.4 86.45 86.5 86.55 86.6 86.65 86.7 86.75 86.8 86.85 86.9 86.95 87 87.05 87.1 87.15 87.2 87.25 87.3 87.35 87.4 87.45 87.5 87.55 87.6 87.65 87.7 87.75 87.8 87.85 87.9 87.95 88 88.05 88.1 88.15 88.2 88.25 88.3 88.35 88.4 88.45 88.5 88.55 88.6 88.65 88.7 88.75 88.8 88.85 88.9 88.95 89 89.05 89.1 89.15 89.2 89.25 89.3 89.35 89.4 89.45 89.5 89.55 89.6 89.65 89.7 89.75 89.8 89.85 89.9 89.95 90 
# The freqs are: 100 1000  (MHz)



# All phi-freq for phi 0
45  4.86194e-19 -1.97709e-18
45.05  5.16668e-19 -2.78941e-18
45.1  4.58986e-19 -3.49081e-18
45.15  4.90827e-19 -4.50919e-18
45.2  4.79856e-19 -4.88298e-18
45.25  4.86112e-19 -5.59e-18
45.3  4.36952e-19 -6.10866e-18
45.35  4.89296e-19 -6.58291e-18
45.4  4.81645e-19 -7.00924e-18
45.45  5.01782e-19 -6.90295e-18
45.5  4.73488e-19 -6.5183e-18
45.55  4.76551e-19 -6.14599e-18
45.6  4.47061e-19 -4.98395e-18
45.65  4.7859e-19 -4.24414e-18
45.7  4.73832e-19 -3.23516e-18
45.75  4.82707e-19 -2.07711e-18
45.8  4.66921e-19 -1.04152e-18
45.85  4.64148e-19 6.265e-20
45.9  4.6184e-19 1.06581e-18
45.95  4.24218e-19 1.27302e-18
46  4.35322e-19 1.56729e-18
46.05  4.20343e-19 1.63914e-18
46.1  4.31627e-19 1.59289e-18
46.15  4.34168e-19 1.5459e-18
46.2  4.45259e-19 7.67419e-19
46.25  3.91929e-19 2.74161e-19
46.3  4.16874e-19 -4.8796e-19
46.35  4.3176e-19 -6.48233e-19
46.4  4.02119e-19 -1.29158e-18
46.45  4.18355e-19 -1.31253e-18
46.5  4.17974e-19 -1.55162e-18
46.55  4.06416e-19 -1.62633e-18
46.6  3.93728e-19 -1.39835e-18
46.65  4.06766e-19 -9.80912e-19
46.7  3.95973e-19 -4.80281e-19
46.75  3.98521e-19 4.54104e-19
46.8  3.63135e-19 1.15417e-18
46.85  3.89438e-19 2.10232e-18
46.9  3.81623e-19 3.10975e-18
46.95  3.82992e-19 3.86099e-18
47  3.85533e-19 4.6136e-18
47.05  3.76617e-19 5.02136e-18
47.1  4.05251e-19 5.75098e-18
47.15  3.78374e-19 6.12036e-18
47.2  3.21278e-19 6.50537e-18
47.25  4.02833e-19 6.75071e-18
47.3  3.87944e-19 6.79388e-18
47.35  3.8961e-19 7.00652e-18
47.4  3.49889e-19 6.79779e-18
47.45  3.46005e-19 6.83436e-18
47.5  3.40052e-19 6.53444e-18
47.55  3.58229e-19 6.27073e-18
47.6  3.12944e-19 5.93082e-18
47.65  3.49333e-19 5.56338e-18
47.7  3.40609e-19 5.08788e-18
47.75  3.33514e-19 4.59414e-18
47.8  3.2081e-19 3.83181e-18
47.85  3.18931e-19 3.42398e-18
47.9  3.42157e-19 2.54691e-18
47.95  2.87257e-19 1.6361e-18
48  3.21072e-19 7.43662e-19
48.05  3.47757e-19 -3.23793e-19
48.1  3.37441e-19 -1.46832e-18
48.15  2.94332e-19 -2.93027e-18
48.2  3.36704e-19 -4.21346e-18
48.25  2.92372e-19 -5.90066e-18
48.3  2.97265e-19 -7.65603e-18
48.35  3.07604e-19 -9.37086e-18
48.4  3.15158e-19 -1.15097e-17
48.45  3.10182e-19 -1.32968e-17
48.5  3.20857e-19 -1.50433e-17
48.55  3.34245e-19 -1.62399e-17
48.6  2.63139e-19 -1.60896e-17
48.65  3.20199e-19 -1.44945e-17
48.7  2.92999e-19 -1.15851e-17
48.75  2.83271e-19 -7.33529e-18
48.8  3.02063e-19 -2.54851e-18
48.85  2.85876e-19 2.32466e-18
48.9  3.11768e-19 5.84505e-18
48.95  2.97139e-19 8.28333e-18
49  2.88279e-19 1.02553e-17
49.05  3.04302e-19 1.11201e-17
49.1  2.99251e-19 1.18474e-17
49.15  2.668e-19 1.19699e-17
49.2  2.91571e-19 1.16367e-17
49.25  2.71658e-19 1.15438e-17
49.3  2.9656e-19 1.10072e-17
49.35  2.7993e-19 1.05482e-17
49.4  2.74847e-19 9.98108e-18
49.45  2.72436e-19 9.30723e-18
49.5  2.8546e-19 8.5324e-18
49.55  2.86724e-19 7.74786e-18
49.6  2.51648e-19 7.06338e-18
49.65  2.63277e-19 6.32385e-18
49.7  2.69297e-19 5.49738e-18
49.75  2.59063e-19 4.70953e-18
49.8  2.48802e-19 3.84132e-18
49.85  2.58744e-19 3.1204e-18
49.9  2.42655e-19 2.56574e-18
49.95  2.71756e-19 1.59752e-18
50  2.48546e-19 8.89807e-19
50.05  2.15845e-19 1.75479e-19
50.1  2.29623e-19 -3.80982e-19
50.15  2.61906e-19 -9.41926e-19
50.2  2.45507e-19 -1.3948e-18
50.25  2.4266e-19 -1.89576e-18
50.3  2.54657e-19 -2.18903e-18
50.35  2.54932e-19 -2.42716e-18
50.4  2.66479e-19 -2.60679e-18
50.45  2.57086e-19 -2.81719e-18
50.5  2.29107e-19 -3.03851e-18
50.55  2.70548e-19 -3.14872e-18
50.6  2.4172e-19 -3.1171e-18
50.65  2.18932e-19 -3.19268e-18
50.7  2.13043e-19 -3.20998e-18
50.75  2.13606e-19 -3.39755e-18
50.8  2.41947e-19 -3.50665e-18
50.85  2.13617e-19 -3.53038e-18
50.9  2.37531e-19 -3.77759e-18
50.95  1.95319e-19 -4.05419e-18
51  1.95146e-19 -4.0381e-18
51.05  2.44725e-19 -4.42073e-18
51.1  1.96052e-19 -4.3868e-18
51.15  2.40501e-19 -4.39325e-18
51.2  2.04854e-19 -4.25457e-18
51.25  1.93069e-19 -3.75438e-18
51.3  2.29236e-19 -2.81532e-18
51.35  1.96348e-19 -2.1867e-18
51.4  2.09125e-19 -9.14127e-19
51.45  1.80942e-19 4.14415e-19
51.5  1.80732e-19 1.96698e-18
51.55  2.02442e-19 3.47424e-18
51.6  1.56347e-19 4.85228e-18
51.65  1.5821e-19 6.2213e-18
51.7  2.07363e-19 7.18492e-18
51.75  1.8758e-19 7.97043e-18
51.8  1.67987e-19 8.36909e-18
51.85  1.91615e-19 8.77998e-18
51.9  1.8699e-19 8.84311e-18
51.95  1.55442e-19 8.81573e-18
52  1.65418e-19 8.66876e-18
52.05  1.42664e-19 8.33407e-18
52.1  1.5424e-19 7.89397e-18
52.15  1.57434e-19 7.47344e-18
52.2  1.52388e-19 6.84581e-18
52.25  1.55787e-19 6.19574e-18
52.3  1.36545e-19 5.45969e-18
52.35  1.45004e-19 4.66422e-18
52.4  9.9866e-20 3.84128e-18
52.45  1.3636e-19 2.91696e-18
52.5  1.17738e-19 1.98512e-18
52.55  1.0675e-19 1.02273e-18
52.6  1.10845e-19 -7.09422e-20
52.65  9.91632e-20 -1.23255e-18
52.7  7.31648e-20 -2.35272e-18
52.75  7.27961e-20 -3.64579e-18
52.8  7.28669e-20 -4.74793e-18
52.85  8.01916e-20 -5.98915e-18
52.9  5.09963e-20 -7.30112e-18
52.95  8.86876e-20 -8.32584e-18
53  8.15373e-20 -9.27656e-18
53.05  5.55867e-20 -9.82916e-18
53.1  6.28328e-20 -1.00794e-17
53.15  6.53091e-20 -9.96502e-18
53.2  9.11069e-21 -9.13113e-18
53.25  2.03791e-20 -8.11505e-18
53.3  3.88033e-20 -6.45535e-18
53.35  3.05605e-20 -4.6657e-18
53.4  2.66361e-20 -2.81353e-18
53.45  4.92048e-20 -1.0221e-18
53.5  -8.03916e-21 7.07497e-19
53.55  2.07097e-21 2.2997e-18
53.6  -4.16078e-20 3.46278e-18
53.65  4.89346e-21 4.48042e-18
53.7  -4.37202e-20 5.14559e-18
53.75  -1.99153e-20 5.50377e-18
53.8  -1.53161e-20 5.84309e-18
