# Outputting data by phi for Stokes 3
# We have 1 phi-specific tables, each of
# which contains nthetas = 901 rows by nfreqs = 2 columns;# The thetas are: 45 45.05 45.1 45.15 45.2 45.25 45.3 45.35 45.4 45.45 45.5 45.55 45.6 45.65 45.7 45.75 45.8 45.85 45.9 45.95 46 46.05 46.1 46.15 46.2 46.25 46.3 46.35 46.4 46.45 46.5 46.55 46.6 46.65 46.7 46.75 46.8 46.85 46.9 46.95 47 47.05 47.1 47.15 47.2 47.25 47.3 47.35 47.4 47.45 47.5 47.55 47.6 47.65 47.7 47.75 47.8 47.85 47.9 47.95 48 48.05 48.1 48.15 48.2 48.25 48.3 48.35 48.4 48.45 48.5 48.55 48.6 48.65 48.7 48.75 48.8 48.85 48.9 48.95 49 49.05 49.1 49.15 49.2 49.25 49.3 49.35 49.4 49.45 49.5 49.55 49.6 49.65 49.7 49.75 49.8 49.85 49.9 49.95 50 50.05 50.1 50.15 50.2 50.25 50.3 50.35 50.4 50.45 50.5 50.55 50.6 50.65 50.7 50.75 50.8 50.85 50.9 50.95 51 51.05 51.1 51.15 51.2 51.25 51.3 51.35 51.4 51.45 51.5 51.55 51.6 51.65 51.7 51.75 51.8 51.85 51.9 51.95 52 52.05 52.1 52.15 52.2 52.25 52.3 52.35 52.4 52.45 52.5 52.55 52.6 52.65 52.7 52.75 52.8 52.85 52.9 52.95 53 53.05 53.1 53.15 53.2 53.25 53.3 53.35 53.4 53.45 53.5 53.55 53.6 53.65 53.7 53.75 53.8 53.85 53.9 53.95 54 54.05 54.1 54.15 54.2 54.25 54.3 54.35 54.4 54.45 54.5 54.55 54.6 54.65 54.7 54.75 54.8 54.85 54.9 54.95 55 55.05 55.1 55.15 55.2 55.25 55.3 55.35 55.4 55.45 55.5 55.55 55.6 55.65 55.7 55.75 55.8 55.85 55.9 55.95 56 56.05 56.1 56.15 56.2 56.25 56.3 56.35 56.4 56.45 56.5 56.55 56.6 56.65 56.7 56.75 56.8 56.85 56.9 56.95 57 57.05 57.1 57.15 57.2 57.25 57.3 57.35 57.4 57.45 57.5 57.55 57.6 57.65 57.7 57.75 57.8 57.85 57.9 57.95 58 58.05 58.1 58.15 58.2 58.25 58.3 58.35 58.4 58.45 58.5 58.55 58.6 58.65 58.7 58.75 58.8 58.85 58.9 58.95 59 59.05 59.1 59.15 59.2 59.25 59.3 59.35 59.4 59.45 59.5 59.55 59.6 59.65 59.7 59.75 59.8 59.85 59.9 59.95 60 60.05 60.1 60.15 60.2 60.25 60.3 60.35 60.4 60.45 60.5 60.55 60.6 60.65 60.7 60.75 60.8 60.85 60.9 60.95 61 61.05 61.1 61.15 61.2 61.25 61.3 61.35 61.4 61.45 61.5 61.55 61.6 61.65 61.7 61.75 61.8 61.85 61.9 61.95 62 62.05 62.1 62.15 62.2 62.25 62.3 62.35 62.4 62.45 62.5 62.55 62.6 62.65 62.7 62.75 62.8 62.85 62.9 62.95 63 63.05 63.1 63.15 63.2 63.25 63.3 63.35 63.4 63.45 63.5 63.55 63.6 63.65 63.7 63.75 63.8 63.85 63.9 63.95 64 64.05 64.1 64.15 64.2 64.25 64.3 64.35 64.4 64.45 64.5 64.55 64.6 64.65 64.7 64.75 64.8 64.85 64.9 64.95 65 65.05 65.1 65.15 65.2 65.25 65.3 65.35 65.4 65.45 65.5 65.55 65.6 65.65 65.7 65.75 65.8 65.85 65.9 65.95 66 66.05 66.1 66.15 66.2 66.25 66.3 66.35 66.4 66.45 66.5 66.55 66.6 66.65 66.7 66.75 66.8 66.85 66.9 66.95 67 67.05 67.1 67.15 67.2 67.25 67.3 67.35 67.4 67.45 67.5 67.55 67.6 67.65 67.7 67.75 67.8 67.85 67.9 67.95 68 68.05 68.1 68.15 68.2 68.25 68.3 68.35 68.4 68.45 68.5 68.55 68.6 68.65 68.7 68.75 68.8 68.85 68.9 68.95 69 69.05 69.1 69.15 69.2 69.25 69.3 69.35 69.4 69.45 69.5 69.55 69.6 69.65 69.7 69.75 69.8 69.85 69.9 69.95 70 70.05 70.1 70.15 70.2 70.25 70.3 70.35 70.4 70.45 70.5 70.55 70.6 70.65 70.7 70.75 70.8 70.85 70.9 70.95 71 71.05 71.1 71.15 71.2 71.25 71.3 71.35 71.4 71.45 71.5 71.55 71.6 71.65 71.7 71.75 71.8 71.85 71.9 71.95 72 72.05 72.1 72.15 72.2 72.25 72.3 72.35 72.4 72.45 72.5 72.55 72.6 72.65 72.7 72.75 72.8 72.85 72.9 72.95 73 73.05 73.1 73.15 73.2 73.25 73.3 73.35 73.4 73.45 73.5 73.55 73.6 73.65 73.7 73.75 73.8 73.85 73.9 73.95 74 74.05 74.1 74.15 74.2 74.25 74.3 74.35 74.4 74.45 74.5 74.55 74.6 74.65 74.7 74.75 74.8 74.85 74.9 74.95 75 75.05 75.1 75.15 75.2 75.25 75.3 75.35 75.4 75.45 75.5 75.55 75.6 75.65 75.7 75.75 75.8 75.85 75.9 75.95 76 76.05 76.1 76.15 76.2 76.25 76.3 76.35 76.4 76.45 76.5 76.55 76.6 76.65 76.7 76.75 76.8 76.85 76.9 76.95 77 77.05 77.1 77.15 77.2 77.25 77.3 77.35 77.4 77.45 77.5 77.55 77.6 77.65 77.7 77.75 77.8 77.85 77.9 77.95 78 78.05 78.1 78.15 78.2 78.25 78.3 78.35 78.4 78.45 78.5 78.55 78.6 78.65 78.7 78.75 78.8 78.85 78.9 78.95 79 79.05 79.1 79.15 79.2 79.25 79.3 79.35 79.4 79.45 79.5 79.55 79.6 79.65 79.7 79.75 79.8 79.85 79.9 79.95 80 80.05 80.1 80.15 80.2 80.25 80.3 80.35 80.4 80.45 80.5 80.55 80.6 80.65 80.7 80.75 80.8 80.85 80.9 80.95 81 81.05 81.1 81.15 81.2 81.25 81.3 81.35 81.4 81.45 81.5 81.55 81.6 81.65 81.7 81.75 81.8 81.85 81.9 81.95 82 82.05 82.1 82.15 82.2 82.25 82.3 82.35 82.4 82.45 82.5 82.55 82.6 82.65 82.7 82.75 82.8 82.85 82.9 82.95 83 83.05 83.1 83.15 83.2 83.25 83.3 83.35 83.4 83.45 83.5 83.55 83.6 83.65 83.7 83.75 83.8 83.85 83.9 83.95 84 84.05 84.1 84.15 84.2 84.25 84.3 84.35 84.4 84.45 84.5 84.55 84.6 84.65 84.7 84.75 84.8 84.85 84.9 84.95 85 85.05 85.1 85.15 85.2 85.25 85.3 85.35 85.4 85.45 85.5 85.55 85.6 85.65 85.7 85.75 85.8 85.85 85.9 85.95 86 86.05 86.1 86.15 86.2 86.25 86.3 86.35 86.4 86.45 86.5 86.55 86.6 86.65 86.7 86.75 86.8 86.85 86.9 86.95 87 87.05 87.1 87.15 87.2 87.25 87.3 87.35 87.4 87.45 87.5 87.55 87.6 87.65 87.7 87.75 87.8 87.85 87.9 87.95 88 88.05 88.1 88.15 88.2 88.25 88.3 88.35 88.4 88.45 88.5 88.55 88.6 88.65 88.7 88.75 88.8 88.85 88.9 88.95 89 89.05 89.1 89.15 89.2 89.25 89.3 89.35 89.4 89.45 89.5 89.55 89.6 89.65 89.7 89.75 89.8 89.85 89.9 89.95 90 
# The freqs are: 100 1000  (MHz)



# All phi-freq for phi 0
45  -3.88935e-20 -5.74841e-18
45.05  -7.44128e-20 -5.50228e-18
45.1  -8.02301e-20 -5.10514e-18
45.15  -7.50852e-20 -4.81898e-18
45.2  -9.07227e-20 -4.15491e-18
45.25  -9.65056e-20 -3.37978e-18
45.3  -7.05459e-20 -2.64057e-18
45.35  -7.21937e-20 -1.43485e-18
45.4  -1.03022e-19 -3.79398e-19
45.45  -9.9498e-20 7.14813e-19
45.5  -8.96776e-20 1.90075e-18
45.55  -9.0294e-20 3.13349e-18
45.6  -1.15178e-19 4.03415e-18
45.65  -1.32794e-19 4.89529e-18
45.7  -1.13354e-19 5.3987e-18
45.75  -1.01027e-19 5.46829e-18
45.8  -1.37329e-19 5.30974e-18
45.85  -1.19854e-19 5.2556e-18
45.9  -1.54287e-19 4.44842e-18
45.95  -1.76141e-19 3.80981e-18
46  -1.46746e-19 3.24459e-18
46.05  -1.72511e-19 2.60208e-18
46.1  -1.48521e-19 1.66246e-18
46.15  -1.41495e-19 1.06224e-18
46.2  -1.63636e-19 6.9251e-19
46.25  -1.67649e-19 7.14862e-19
46.3  -1.72815e-19 7.00039e-19
46.35  -1.45913e-19 8.77405e-19
46.4  -1.71159e-19 1.27121e-18
46.45  -1.31156e-19 1.63097e-18
46.5  -1.62802e-19 2.38211e-18
46.55  -1.74543e-19 3.1768e-18
46.6  -1.80182e-19 3.81271e-18
46.65  -1.73073e-19 4.42189e-18
46.7  -1.48075e-19 4.95494e-18
46.75  -1.7848e-19 5.2801e-18
46.8  -1.76054e-19 5.52857e-18
46.85  -1.38516e-19 5.83691e-18
46.9  -2.26737e-19 5.49773e-18
46.95  -1.98504e-19 5.1984e-18
47  -2.14479e-19 4.77015e-18
47.05  -2.06206e-19 3.96215e-18
47.1  -1.68444e-19 3.72394e-18
47.15  -2.28208e-19 2.94784e-18
47.2  -2.19542e-19 2.29711e-18
47.25  -2.1084e-19 1.31885e-18
47.3  -2.27553e-19 6.9913e-19
47.35  -1.81626e-19 3.15247e-20
47.4  -2.12441e-19 -7.4425e-19
47.45  -2.1059e-19 -1.56783e-18
47.5  -2.38405e-19 -2.25666e-18
47.55  -1.98532e-19 -2.97724e-18
47.6  -1.91284e-19 -3.80144e-18
47.65  -2.36329e-19 -4.30869e-18
47.7  -2.12633e-19 -4.90348e-18
47.75  -2.34446e-19 -5.46146e-18
47.8  -2.26352e-19 -6.119e-18
47.85  -2.15792e-19 -6.54108e-18
47.9  -2.28294e-19 -7.27319e-18
47.95  -2.24508e-19 -7.53344e-18
48  -2.158e-19 -7.87107e-18
48.05  -2.24506e-19 -8.28807e-18
48.1  -2.23796e-19 -8.50847e-18
48.15  -2.39078e-19 -8.52684e-18
48.2  -2.18398e-19 -8.42055e-18
48.25  -2.39421e-19 -8.15655e-18
48.3  -2.41591e-19 -7.76202e-18
48.35  -2.25293e-19 -6.89765e-18
48.4  -2.15934e-19 -5.49706e-18
48.45  -2.56221e-19 -3.44226e-18
48.5  -2.7225e-19 -5.51616e-19
48.55  -2.34977e-19 2.83311e-18
48.6  -2.41519e-19 6.80058e-18
48.65  -2.14959e-19 1.14236e-17
48.7  -2.33416e-19 1.51492e-17
48.75  -2.62823e-19 1.76789e-17
48.8  -2.55771e-19 1.90459e-17
48.85  -2.33682e-19 1.82128e-17
48.9  -2.54995e-19 1.62256e-17
48.95  -2.46359e-19 1.40327e-17
49  -2.29838e-19 1.17759e-17
49.05  -2.77218e-19 9.34057e-18
49.1  -2.33921e-19 6.97631e-18
49.15  -2.57855e-19 4.99355e-18
49.2  -2.1935e-19 3.27196e-18
49.25  -2.65626e-19 1.61977e-18
49.3  -2.49628e-19 2.32786e-19
49.35  -2.83537e-19 -9.6667e-19
49.4  -2.70742e-19 -2.05828e-18
49.45  -2.95225e-19 -3.07065e-18
49.5  -2.53213e-19 -3.69883e-18
49.55  -2.56115e-19 -4.43636e-18
49.6  -2.76217e-19 -5.02794e-18
49.65  -2.78628e-19 -5.43387e-18
49.7  -2.96053e-19 -5.93268e-18
49.75  -2.89184e-19 -6.35587e-18
49.8  -2.89424e-19 -6.36967e-18
49.85  -2.76798e-19 -6.53513e-18
49.9  -2.95396e-19 -6.50769e-18
49.95  -2.82995e-19 -6.44887e-18
50  -2.74825e-19 -6.35584e-18
50.05  -3.02097e-19 -6.15688e-18
50.1  -2.99146e-19 -5.8747e-18
50.15  -2.95417e-19 -5.51875e-18
50.2  -3.24334e-19 -5.14406e-18
50.25  -3.0157e-19 -4.72678e-18
50.3  -3.29796e-19 -4.41813e-18
50.35  -2.95148e-19 -3.98097e-18
50.4  -3.12289e-19 -3.60283e-18
50.45  -2.92666e-19 -3.06657e-18
50.5  -3.21512e-19 -2.75971e-18
50.55  -3.15935e-19 -2.33402e-18
50.6  -3.38326e-19 -2.03337e-18
50.65  -3.15057e-19 -1.73156e-18
50.7  -3.12656e-19 -1.43576e-18
50.75  -3.10698e-19 -1.14587e-18
50.8  -3.54509e-19 -7.57969e-19
50.85  -3.10704e-19 -5.45556e-19
50.9  -3.18398e-19 -1.62709e-19
50.95  -3.17013e-19 1.72428e-19
51  -3.51245e-19 7.02638e-19
51.05  -3.55212e-19 1.36571e-18
51.1  -3.44836e-19 2.01831e-18
51.15  -3.74567e-19 2.89178e-18
51.2  -3.54157e-19 3.68153e-18
51.25  -3.48074e-19 4.56538e-18
51.3  -3.63151e-19 5.61847e-18
51.35  -3.67441e-19 6.70099e-18
51.4  -3.62868e-19 7.42631e-18
51.45  -3.88357e-19 7.85054e-18
51.5  -3.82412e-19 7.95731e-18
51.55  -3.79489e-19 7.67059e-18
51.6  -3.68918e-19 7.18996e-18
51.65  -3.95944e-19 6.32088e-18
51.7  -3.82606e-19 5.39128e-18
51.75  -3.7631e-19 4.0702e-18
51.8  -3.8611e-19 2.86866e-18
51.85  -3.90871e-19 1.71984e-18
51.9  -3.98573e-19 3.91064e-19
51.95  -4.08745e-19 -6.68164e-19
52  -4.02027e-19 -1.78468e-18
52.05  -3.98759e-19 -2.87373e-18
52.1  -4.1131e-19 -3.77271e-18
52.15  -4.1589e-19 -4.71634e-18
52.2  -4.0798e-19 -5.4005e-18
52.25  -4.2151e-19 -6.207e-18
52.3  -4.19912e-19 -6.7851e-18
52.35  -4.29146e-19 -7.52027e-18
52.4  -4.35452e-19 -7.88826e-18
52.45  -4.31154e-19 -8.34678e-18
52.5  -4.27112e-19 -8.74927e-18
52.55  -4.4037e-19 -8.86459e-18
52.6  -4.47872e-19 -8.99825e-18
52.65  -4.47329e-19 -9.058e-18
52.7  -4.49415e-19 -9.02297e-18
52.75  -4.47116e-19 -8.70178e-18
52.8  -4.58647e-19 -8.2e-18
52.85  -4.32229e-19 -7.48467e-18
52.9  -4.65572e-19 -6.53442e-18
52.95  -4.31424e-19 -5.4001e-18
53  -4.38353e-19 -3.88603e-18
53.05  -4.5621e-19 -2.09243e-18
53.1  -4.66853e-19 -1.92802e-19
53.15  -4.38334e-19 1.83142e-18
53.2  -4.51214e-19 3.91081e-18
53.25  -4.69607e-19 5.54902e-18
53.3  -4.69171e-19 6.99791e-18
53.35  -4.65691e-19 7.77541e-18
53.4  -4.63351e-19 8.47775e-18
