# Outputting data by phi for R(EZ), I(EZ), R(EXY), I(EXY)
# We have 1 phi-specific tables, each of
# which contains nthetas = 901 rows by nfreqs = 2 columns;# The thetas are: 45 45.05 45.1 45.15 45.2 45.25 45.3 45.35 45.4 45.45 45.5 45.55 45.6 45.65 45.7 45.75 45.8 45.85 45.9 45.95 46 46.05 46.1 46.15 46.2 46.25 46.3 46.35 46.4 46.45 46.5 46.55 46.6 46.65 46.7 46.75 46.8 46.85 46.9 46.95 47 47.05 47.1 47.15 47.2 47.25 47.3 47.35 47.4 47.45 47.5 47.55 47.6 47.65 47.7 47.75 47.8 47.85 47.9 47.95 48 48.05 48.1 48.15 48.2 48.25 48.3 48.35 48.4 48.45 48.5 48.55 48.6 48.65 48.7 48.75 48.8 48.85 48.9 48.95 49 49.05 49.1 49.15 49.2 49.25 49.3 49.35 49.4 49.45 49.5 49.55 49.6 49.65 49.7 49.75 49.8 49.85 49.9 49.95 50 50.05 50.1 50.15 50.2 50.25 50.3 50.35 50.4 50.45 50.5 50.55 50.6 50.65 50.7 50.75 50.8 50.85 50.9 50.95 51 51.05 51.1 51.15 51.2 51.25 51.3 51.35 51.4 51.45 51.5 51.55 51.6 51.65 51.7 51.75 51.8 51.85 51.9 51.95 52 52.05 52.1 52.15 52.2 52.25 52.3 52.35 52.4 52.45 52.5 52.55 52.6 52.65 52.7 52.75 52.8 52.85 52.9 52.95 53 53.05 53.1 53.15 53.2 53.25 53.3 53.35 53.4 53.45 53.5 53.55 53.6 53.65 53.7 53.75 53.8 53.85 53.9 53.95 54 54.05 54.1 54.15 54.2 54.25 54.3 54.35 54.4 54.45 54.5 54.55 54.6 54.65 54.7 54.75 54.8 54.85 54.9 54.95 55 55.05 55.1 55.15 55.2 55.25 55.3 55.35 55.4 55.45 55.5 55.55 55.6 55.65 55.7 55.75 55.8 55.85 55.9 55.95 56 56.05 56.1 56.15 56.2 56.25 56.3 56.35 56.4 56.45 56.5 56.55 56.6 56.65 56.7 56.75 56.8 56.85 56.9 56.95 57 57.05 57.1 57.15 57.2 57.25 57.3 57.35 57.4 57.45 57.5 57.55 57.6 57.65 57.7 57.75 57.8 57.85 57.9 57.95 58 58.05 58.1 58.15 58.2 58.25 58.3 58.35 58.4 58.45 58.5 58.55 58.6 58.65 58.7 58.75 58.8 58.85 58.9 58.95 59 59.05 59.1 59.15 59.2 59.25 59.3 59.35 59.4 59.45 59.5 59.55 59.6 59.65 59.7 59.75 59.8 59.85 59.9 59.95 60 60.05 60.1 60.15 60.2 60.25 60.3 60.35 60.4 60.45 60.5 60.55 60.6 60.65 60.7 60.75 60.8 60.85 60.9 60.95 61 61.05 61.1 61.15 61.2 61.25 61.3 61.35 61.4 61.45 61.5 61.55 61.6 61.65 61.7 61.75 61.8 61.85 61.9 61.95 62 62.05 62.1 62.15 62.2 62.25 62.3 62.35 62.4 62.45 62.5 62.55 62.6 62.65 62.7 62.75 62.8 62.85 62.9 62.95 63 63.05 63.1 63.15 63.2 63.25 63.3 63.35 63.4 63.45 63.5 63.55 63.6 63.65 63.7 63.75 63.8 63.85 63.9 63.95 64 64.05 64.1 64.15 64.2 64.25 64.3 64.35 64.4 64.45 64.5 64.55 64.6 64.65 64.7 64.75 64.8 64.85 64.9 64.95 65 65.05 65.1 65.15 65.2 65.25 65.3 65.35 65.4 65.45 65.5 65.55 65.6 65.65 65.7 65.75 65.8 65.85 65.9 65.95 66 66.05 66.1 66.15 66.2 66.25 66.3 66.35 66.4 66.45 66.5 66.55 66.6 66.65 66.7 66.75 66.8 66.85 66.9 66.95 67 67.05 67.1 67.15 67.2 67.25 67.3 67.35 67.4 67.45 67.5 67.55 67.6 67.65 67.7 67.75 67.8 67.85 67.9 67.95 68 68.05 68.1 68.15 68.2 68.25 68.3 68.35 68.4 68.45 68.5 68.55 68.6 68.65 68.7 68.75 68.8 68.85 68.9 68.95 69 69.05 69.1 69.15 69.2 69.25 69.3 69.35 69.4 69.45 69.5 69.55 69.6 69.65 69.7 69.75 69.8 69.85 69.9 69.95 70 70.05 70.1 70.15 70.2 70.25 70.3 70.35 70.4 70.45 70.5 70.55 70.6 70.65 70.7 70.75 70.8 70.85 70.9 70.95 71 71.05 71.1 71.15 71.2 71.25 71.3 71.35 71.4 71.45 71.5 71.55 71.6 71.65 71.7 71.75 71.8 71.85 71.9 71.95 72 72.05 72.1 72.15 72.2 72.25 72.3 72.35 72.4 72.45 72.5 72.55 72.6 72.65 72.7 72.75 72.8 72.85 72.9 72.95 73 73.05 73.1 73.15 73.2 73.25 73.3 73.35 73.4 73.45 73.5 73.55 73.6 73.65 73.7 73.75 73.8 73.85 73.9 73.95 74 74.05 74.1 74.15 74.2 74.25 74.3 74.35 74.4 74.45 74.5 74.55 74.6 74.65 74.7 74.75 74.8 74.85 74.9 74.95 75 75.05 75.1 75.15 75.2 75.25 75.3 75.35 75.4 75.45 75.5 75.55 75.6 75.65 75.7 75.75 75.8 75.85 75.9 75.95 76 76.05 76.1 76.15 76.2 76.25 76.3 76.35 76.4 76.45 76.5 76.55 76.6 76.65 76.7 76.75 76.8 76.85 76.9 76.95 77 77.05 77.1 77.15 77.2 77.25 77.3 77.35 77.4 77.45 77.5 77.55 77.6 77.65 77.7 77.75 77.8 77.85 77.9 77.95 78 78.05 78.1 78.15 78.2 78.25 78.3 78.35 78.4 78.45 78.5 78.55 78.6 78.65 78.7 78.75 78.8 78.85 78.9 78.95 79 79.05 79.1 79.15 79.2 79.25 79.3 79.35 79.4 79.45 79.5 79.55 79.6 79.65 79.7 79.75 79.8 79.85 79.9 79.95 80 80.05 80.1 80.15 80.2 80.25 80.3 80.35 80.4 80.45 80.5 80.55 80.6 80.65 80.7 80.75 80.8 80.85 80.9 80.95 81 81.05 81.1 81.15 81.2 81.25 81.3 81.35 81.4 81.45 81.5 81.55 81.6 81.65 81.7 81.75 81.8 81.85 81.9 81.95 82 82.05 82.1 82.15 82.2 82.25 82.3 82.35 82.4 82.45 82.5 82.55 82.6 82.65 82.7 82.75 82.8 82.85 82.9 82.95 83 83.05 83.1 83.15 83.2 83.25 83.3 83.35 83.4 83.45 83.5 83.55 83.6 83.65 83.7 83.75 83.8 83.85 83.9 83.95 84 84.05 84.1 84.15 84.2 84.25 84.3 84.35 84.4 84.45 84.5 84.55 84.6 84.65 84.7 84.75 84.8 84.85 84.9 84.95 85 85.05 85.1 85.15 85.2 85.25 85.3 85.35 85.4 85.45 85.5 85.55 85.6 85.65 85.7 85.75 85.8 85.85 85.9 85.95 86 86.05 86.1 86.15 86.2 86.25 86.3 86.35 86.4 86.45 86.5 86.55 86.6 86.65 86.7 86.75 86.8 86.85 86.9 86.95 87 87.05 87.1 87.15 87.2 87.25 87.3 87.35 87.4 87.45 87.5 87.55 87.6 87.65 87.7 87.75 87.8 87.85 87.9 87.95 88 88.05 88.1 88.15 88.2 88.25 88.3 88.35 88.4 88.45 88.5 88.55 88.6 88.65 88.7 88.75 88.8 88.85 88.9 88.95 89 89.05 89.1 89.15 89.2 89.25 89.3 89.35 89.4 89.45 89.5 89.55 89.6 89.65 89.7 89.75 89.8 89.85 89.9 89.95 90 
# The freqs are: 100 1000  (MHz)



# All phi-freq for phi 0
45 5.51516e-18 5.6062e-18 1.2317e-36 1.4701e-36         9.13951e-19 -4.89058e-18 1.3153e-35 7.46145e-36         
45.05 5.68344e-18 5.45871e-18 1.26513e-36 1.62163e-36         -3.97755e-19 -4.79961e-18 1.37592e-35 5.59976e-36         
45.1 5.84794e-18 5.30603e-18 1.12921e-36 1.45229e-36         -1.6119e-18 -4.36008e-18 1.39428e-35 3.49563e-36         
45.15 6.00851e-18 5.14824e-18 1.28129e-36 1.48902e-36         -2.63651e-18 -3.61599e-18 1.46569e-35 1.79998e-36         
45.2 6.16497e-18 4.98543e-18 1.253e-36 1.4758e-36         -3.39608e-18 -2.63544e-18 1.37665e-35 -6.20808e-37         
45.25 6.31718e-18 4.81771e-18 1.30296e-36 1.4758e-36         -3.83786e-18 -1.50487e-18 1.32699e-35 -2.27945e-36         
45.3 6.46499e-18 4.64519e-18 1.2486e-36 1.2429e-36         -3.93609e-18 -3.21831e-19 1.2447e-35 -4.21378e-36         
45.35 6.60822e-18 4.46797e-18 1.45541e-36 1.33161e-36         -3.69416e-18 8.13292e-19 1.15757e-35 -5.32719e-36         
45.4 6.74674e-18 4.28616e-18 1.40398e-36 1.37974e-36         -3.14413e-18 1.80581e-18 1.06764e-35 -6.92513e-36         
45.45 6.8804e-18 4.0999e-18 1.52227e-36 1.37092e-36         -2.3439e-18 2.57482e-18 9.01016e-36 -8.0492e-36         
45.5 7.00905e-18 3.9093e-18 1.48406e-36 1.23978e-36         -1.37204e-18 3.06007e-18 7.3799e-36 -8.66927e-36         
45.55 7.13255e-18 3.71449e-18 1.53182e-36 1.20709e-36         -3.20895e-19 3.22714e-18 6.04222e-36 -9.41424e-36         
45.6 7.25077e-18 3.51561e-18 1.41831e-36 1.20341e-36         7.1159e-19 3.07035e-18 4.41986e-36 -9.08657e-36         
45.65 7.36355e-18 3.3128e-18 1.5421e-36 1.28166e-36         1.63055e-18 2.6131e-18 2.9358e-36 -9.5362e-36         
45.7 7.47079e-18 3.1062e-18 1.5939e-36 1.15933e-36         2.35267e-18 1.90573e-18 1.33859e-36 -9.43334e-36         
45.75 7.57233e-18 2.89596e-18 1.68132e-36 1.08145e-36         2.81359e-18 1.0209e-18 -1.30774e-37 -8.75302e-36         
45.8 7.66807e-18 2.68223e-18 1.60602e-36 1.15272e-36         2.97376e-18 4.70092e-20 -1.42382e-36 -7.91943e-36         
45.85 7.75788e-18 2.46517e-18 1.65267e-36 1.03701e-36         2.82203e-18 -9.19914e-19 -2.32895e-36 -7.44455e-36         
45.9 7.84164e-18 2.24493e-18 1.63761e-36 1.12333e-36         2.37668e-18 -1.78499e-18 -2.70364e-36 -6.23747e-36         
45.95 7.91925e-18 2.02169e-18 1.50169e-36 1.12627e-36         1.68384e-18 -2.46327e-18 -3.62052e-36 -4.77545e-36         
46 7.99059e-18 1.79562e-18 1.60749e-36 9.7713e-37         8.13287e-19 -2.8877e-18 -4.04737e-36 -3.58232e-36         
46.05 8.05555e-18 1.56687e-18 1.5579e-36 1.02415e-36         -1.47877e-19 -3.01546e-18 -4.04444e-36 -2.27899e-36         
46.1 8.11405e-18 1.33564e-18 1.65194e-36 8.90804e-37         -1.10333e-18 -2.83224e-18 -3.23298e-36 -1.33859e-36         
46.15 8.16598e-18 1.1021e-18 1.69473e-36 8.16969e-37         -1.95649e-18 -2.35379e-18 -2.76241e-36 -7.80234e-37         
46.2 8.21127e-18 8.66427e-19 1.75718e-36 8.64723e-37         -2.61966e-18 -1.62489e-18 -1.56782e-36 2.83588e-37         
46.25 8.24981e-18 6.2882e-19 1.56396e-36 8.14765e-37         -3.02251e-18 -7.15396e-19 -6.70032e-37 9.82272e-37         
46.3 8.28154e-18 3.89462e-19 1.69253e-36 7.96765e-37         -3.11899e-18 2.85927e-19 8.6105e-37 1.02195e-36         
46.35 8.30638e-18 1.48549e-19 1.78234e-36 6.38073e-37         -2.89217e-18 1.27958e-18 1.49876e-36 8.5407e-37         
46.4 8.32426e-18 -9.37254e-20 1.68169e-36 6.93542e-37         -2.35646e-18 2.16458e-18 2.89759e-36 9.9917e-38         
46.45 8.33511e-18 -3.37161e-19 1.76563e-36 4.76075e-37         -1.55686e-18 2.84808e-18 3.34428e-36 -5.99502e-37         
46.5 8.33889e-18 -5.81557e-19 1.79006e-36 5.57258e-37         -5.65377e-19 3.2544e-18 4.3148e-36 -1.8514e-36         
46.55 8.33554e-18 -8.26708e-19 1.766e-36 5.59462e-37         5.25138e-19 3.33264e-18 4.86655e-36 -3.54412e-36         
46.6 8.32501e-18 -1.07241e-18 1.73551e-36 5.38891e-37         1.6093e-18 3.0622e-18 4.71245e-36 -5.20891e-36         
46.65 8.30726e-18 -1.31845e-18 1.80365e-36 4.50729e-37         2.57886e-18 2.45552e-18 4.16419e-36 -6.90603e-36         
46.7 8.28226e-18 -1.56463e-18 1.75562e-36 3.03424e-37         3.33282e-18 1.55787e-18 3.05922e-36 -8.63107e-36         
46.75 8.24999e-18 -1.81072e-18 1.80549e-36 3.75424e-37         3.78723e-18 4.44021e-19 2.03214e-36 -9.89766e-36         
46.8 8.21041e-18 -2.05652e-18 1.67177e-36 3.49342e-37         3.88357e-18 -7.87894e-19 6.31828e-38 -1.119e-35         
46.85 8.16351e-18 -2.3018e-18 1.74901e-36 1.17182e-37         3.595e-18 -2.02488e-18 -2.13058e-36 -1.26203e-35         
46.9 8.10929e-18 -2.54636e-18 1.83602e-36 4.33464e-37         2.92985e-18 -3.14914e-18 -4.10101e-36 -1.29503e-35         
46.95 8.04773e-18 -2.78997e-18 1.81802e-36 2.64486e-37         1.93193e-18 -4.04891e-18 -6.79436e-36 -1.28379e-35         
47 7.97885e-18 -3.03242e-18 1.86325e-36 2.71098e-37         6.77575e-19 -4.62898e-18 -9.47742e-36 -1.22942e-35         
47.05 7.90266e-18 -3.27348e-18 1.82564e-36 1.98365e-37         -7.3039e-19 -4.81995e-18 -1.13825e-35 -1.06544e-35         
47.1 7.81916e-18 -3.51294e-18 1.88023e-36 -5.32646e-38         -2.17131e-18 -4.58542e-18 -1.47815e-35 -9.14241e-36         
47.15 7.72839e-18 -3.75057e-18 1.89007e-36 1.72283e-37         -3.51718e-18 -3.92628e-18 -1.65502e-35 -6.83109e-36         
47.2 7.63037e-18 -3.98615e-18 1.6633e-36 1.97263e-37         -4.6441e-18 -2.88171e-18 -1.84156e-35 -4.03929e-36         
47.25 7.52514e-18 -4.21947e-18 1.9605e-36 -5.65707e-38         -5.44364e-18 -1.52668e-18 -1.9381e-35 -1.56341e-36         
47.3 7.41275e-18 -4.45029e-18 1.9442e-36 -1.98365e-38         -5.83305e-18 3.38733e-20 -1.98027e-35 2.15409e-36         
47.35 7.29323e-18 -4.67841e-18 1.84562e-36 -2.49058e-37         -5.76335e-18 1.6737e-18 -2.01641e-35 5.95425e-36         
47.4 7.16665e-18 -4.9036e-18 1.77463e-36 -9.66109e-38         -5.2246e-18 3.2561e-18 -1.89695e-35 9.12294e-36         
47.45 7.03308e-18 -5.12564e-18 1.75645e-36 -1.46202e-37         -4.24764e-18 4.64593e-18 -1.8157e-35 1.25462e-35         
